feature,ransom_mean,benign_mean,abs_diff,cohens_d_sep,direction
handle_mutex_ratio,0.022,0.018,0.004,9.345,ransomware_higher
vad_private_region_count,7655.45,8462.267,806.817,9.226,benign_higher
dlllist_unusual_path_ratio,0.012,0.017,0.005,7.586,benign_higher
ldrmodules_suspicious_path_ratio,0.003,0.013,0.009,7.383,benign_higher
malfind_pid_count,3.143,5.427,2.283,7.265,benign_higher
vad_private_ratio,0.441,0.456,0.015,7.141,benign_higher
vad_max_regions_per_process,2292.572,2743.16,450.588,6.796,benign_higher
vad_total,17357.627,18496.067,1138.44,4.748,benign_higher
handle_mutex_count,832.168,696.44,135.728,4.482,ransomware_higher
netstat_outbound_ratio,0.251,0.275,0.024,4.175,benign_higher
dlllist_crypto_ratio,0.032,0.035,0.003,3.661,benign_higher
handle_semaphore_count,1643.775,1795.68,151.905,3.28,benign_higher
vad_exec_ratio,0.34,0.326,0.014,3.191,ransomware_higher
ldrmodules_avg_per_process,20.903,10.429,10.474,3.166,ransomware_higher
netstat_outbound_count,10.178,11.44,1.262,3.146,benign_higher
hidden_process_count,4.076,9.133,5.057,2.775,benign_higher
handle_file_ratio,0.046,0.048,0.002,2.594,benign_higher
vad_avg_regions_per_process,178.101,189.679,11.578,2.549,benign_higher
vad_rwx_ratio,0.001,0.001,0.0,2.471,ransomware_higher
pslist_wow64_count,3.394,1.413,1.981,2.428,ransomware_higher
malfind_private_exec,7.609,4.587,3.022,2.294,ransomware_higher
malfind_private,7.609,4.587,3.022,2.294,ransomware_higher
pslist_max_children,38.601,37.347,1.255,2.293,ransomware_higher
netstat_established_ratio,0.008,0.033,0.025,2.285,benign_higher
pslist_parent_missing_count,4.983,5.667,0.683,2.23,benign_higher
netstat_established,0.356,1.44,1.084,2.157,benign_higher
netstat_unique_ips,1.089,1.36,0.271,2.157,benign_higher
malfind_rwx_region_count,6.421,3.013,3.408,2.149,ransomware_higher
vad_priv_exec_ratio,0.001,0.001,0.0,2.085,ransomware_higher
svcscan_security_stopped,3.88,5.0,1.12,1.936,benign_higher
vad_rwx_region_count,19.114,14.907,4.208,1.887,ransomware_higher
dlllist_unusual_path_hit_count,43.358,65.533,22.175,1.884,benign_higher
ldrmodules_not_in_init,175.266,53.52,121.746,1.879,ransomware_higher
ldrmodules_not_in_load,138.649,34.693,103.955,1.789,ransomware_higher
ldrmodules_not_in_mem,138.649,34.693,103.955,1.789,ransomware_higher
svcscan_stopped,418.27,409.0,9.27,1.737,ransomware_higher
ldrmodules_total,1121.971,314.533,807.437,1.727,ransomware_higher
netstat_total,40.464,41.44,0.976,1.713,benign_higher
signal_encryption_score,0.497,0.005,0.493,1.703,ransomware_higher
psscan_count,105.945,109.547,3.601,1.566,benign_higher
vad_private_exec,20.228,16.493,3.735,1.478,ransomware_higher
filescan_encrypted_ratio,0.074,0.0,0.074,1.387,ransomware_higher
filescan_encrypted,464.465,0.693,463.771,1.338,ransomware_higher
signal_injection_score,0.804,0.636,0.168,1.306,ransomware_higher
filescan_total,6035.754,5543.573,492.181,1.303,ransomware_higher
handle_registry_ratio,0.08,0.076,0.004,1.243,ransomware_higher
dlllist_avg_max_loadcount_per_process,11.913,19.431,7.518,1.237,benign_higher
malfind_max_regions_per_process,4.628,2.52,2.108,1.234,ransomware_higher
pslist_avg_threads,13.449,12.845,0.604,1.215,ransomware_higher
malfind_avg_regions_per_process,2.907,1.439,1.468,1.142,ransomware_higher
malfind_rwx_pid_count,2.488,2.027,0.461,1.14,ransomware_higher
dlllist_unusual_path_pid_count,4.704,6.067,1.363,1.134,benign_higher
svcscan_running,209.816,217.242,7.426,1.074,benign_higher
handle_port_count,2024.759,1966.56,58.199,1.032,ransomware_higher
vad_exec_count,5895.533,6017.707,122.173,1.004,benign_higher
malfind_count,7.609,8.893,1.284,0.975,benign_higher
handle_desktop_count,77.887,73.373,4.513,0.961,ransomware_higher
priv_total_enabled,1239.479,1147.24,92.239,0.947,ransomware_higher
handle_token_count,633.058,558.827,74.232,0.905,ransomware_higher
pslist_unique_names,55.36,53.693,1.667,0.899,ransomware_higher
vad_rwx_pid_count,4.437,3.88,0.557,0.856,ransomware_higher
tier1_composite,0.537,0.444,0.093,0.832,ransomware_higher
dlllist_avg_load_total_per_process,289.258,303.182,13.924,0.789,benign_higher
handle_directory_count,202.292,194.093,8.199,0.765,ransomware_higher
cmdline_avg_length,69.574,91.005,21.43,0.724,benign_higher
handle_registry_count,3021.226,2888.773,132.453,0.72,ransomware_higher
filescan_wncryt,174.467,0.0,174.467,0.707,ransomware_higher
pslist_ransom_procs,0.32,0.0,0.32,0.707,ransomware_higher
pslist_wannacry_procs,0.533,0.0,0.533,0.707,ransomware_higher
handle_encrypted_files,0.556,0.0,0.556,0.707,ransomware_higher
handle_eky_count,0.333,0.0,0.333,0.707,ransomware_higher
handle_wncryt_count,1.289,0.0,1.289,0.707,ransomware_higher
filescan_ransom_notes,2.889,0.0,2.889,0.707,ransomware_higher
dlllist_crypto_hit_count,115.363,137.187,21.823,0.691,benign_higher
cmdline_unusual_dir_count,4.859,6.333,1.474,0.68,benign_higher
ldrmodules_suspicious_path_pid_count,1.579,1.24,0.339,0.666,ransomware_higher
handle_file_count,1754.874,1818.8,63.926,0.665,benign_higher
cmdline_script_tool_count,0.532,0.28,0.252,0.665,ransomware_higher
cmdline_unusual_dir_ratio,0.049,0.064,0.015,0.628,benign_higher
pslist_avg_children,4.516,4.608,0.093,0.601,benign_higher
dlllist_non_system,3972.293,4455.28,482.987,0.553,benign_higher
ldrmodules_suspicious_path_hit_count,6.235,3.027,3.208,0.544,ransomware_higher
dlllist_max_load_total_per_process,2010.304,2334.667,324.362,0.522,benign_higher
dlllist_total,3565.855,3998.64,432.785,0.482,benign_higher
netstat_listening,28.05,28.0,0.05,0.463,ransomware_higher
dlllist_unique_dlls,743.769,789.293,45.524,0.46,benign_higher
pslist_exited_count,4.046,3.0,1.046,0.439,ransomware_higher
handle_event_count,9805.146,10022.573,217.428,0.432,benign_higher
cmdline_max_length,1076.433,997.12,79.313,0.402,ransomware_higher
dlllist_crypto_pid_count,52.963,57.96,4.997,0.383,benign_higher
handle_timer_count,892.069,873.04,19.029,0.364,ransomware_higher
cmdline_with_args,101.869,100.413,1.456,0.358,ransomware_higher
cmdline_count,101.869,100.413,1.456,0.358,ransomware_higher
pslist_count,101.869,100.413,1.456,0.358,ransomware_higher
handle_process_count,896.884,900.44,3.556,0.32,benign_higher
handle_avg_per_process,489.288,485.769,3.518,0.267,ransomware_higher
handle_thread_count,1676.069,1706.053,29.984,0.241,benign_higher
svcscan_total,629.137,627.242,1.895,0.231,ransomware_higher
cmdline_suspicious_count,1.843,1.76,0.083,0.187,ransomware_higher
handle_section_count,1127.008,1139.013,12.006,0.151,benign_higher
dlllist_avg_per_process,52.619,53.018,0.399,0.131,benign_higher
vad_private_pid_count,96.824,96.413,0.41,0.109,ransomware_higher
vad_pid_count,97.824,97.413,0.41,0.109,ransomware_higher
handle_total,38010.458,37912.36,98.098,0.055,ransomware_higher
ldrmodules_max_per_process,99.354,98.4,0.954,0.037,ransomware_higher
malfind_rwx_ratio,0.678,0.673,0.006,0.026,ransomware_higher
vad_max_total_mem_per_process,0.0,0.0,0.0,0.0,ransomware_higher
vad_avg_total_mem_per_process,0.0,0.0,0.0,0.0,ransomware_higher
dlllist_crypto_dlls,7.0,7.0,0.0,0.0,ransomware_higher
vad_avg_max_region_size_per_process,0.0,0.0,0.0,0.0,ransomware_higher
filescan_fun,0.0,0.0,0.0,0.0,ransomware_higher
filescan_jigsaw_notes,0.0,0.0,0.0,0.0,ransomware_higher
handle_fun_count,0.0,0.0,0.0,0.0,ransomware_higher
