feature,mean_cohens_d,min_cohens_d,worst_family,n_families_overlapping,mean_overlap_pct,fpr_risk_score
dlllist_crypto_dlls,0.0,0.0,Cerber,3,1.0,11.0
handle_encrypted_files,0.37213333333333337,0.0,Cerber,3,1.0,11.0
filescan_ransom_notes,0.4505666666666666,0.0,Cerber,3,1.0,11.0
filescan_jigsaw_notes,0.0,0.0,Cerber,3,1.0,11.0
handle_fun_count,0.0,0.0,Cerber,3,1.0,11.0
filescan_fun,0.0,0.0,Cerber,3,1.0,11.0
vad_avg_total_mem_per_process,0.0,0.0,Cerber,3,1.0,11.0
netstat_listening,0.12083333333333333,0.0,Dharma,3,1.0,11.0
handle_wncryt_count,0.3632333333333333,0.0,Cerber,3,1.0,11.0
vad_avg_max_region_size_per_process,0.0,0.0,Cerber,3,1.0,11.0
vad_max_total_mem_per_process,0.0,0.0,Cerber,3,1.0,11.0
pslist_ransom_procs,2.3333333333333335,0.0,Cerber,2,0.6666666666666666,10.666666666666666
pslist_wannacry_procs,0.8577,0.0,Cerber,2,0.6666666666666666,10.666666666666666
handle_eky_count,333333333.3333333,0.0,Cerber,2,0.6666666666666666,10.666666666666666
filescan_wncryt,0.7587666666666667,0.0,Cerber,2,0.6666666666666666,10.666666666666666
handle_avg_per_process,0.3830333333333333,0.0054,Cerber,3,0.8578,10.487666034155597
dlllist_avg_max_loadcount_per_process,0.12749999999999997,0.004,Cerber,2,0.6711,10.282051282051281
malfind_rwx_ratio,0.48433333333333334,0.0179,Dharma,3,0.56,9.481764206955047
handle_port_count,0.5469333333333334,0.0226,Dharma,3,0.6889,9.156606851549755
dlllist_avg_per_process,0.3049,0.0263,Dharma,3,0.47553333333333336,8.917656373713381
ldrmodules_suspicious_path_hit_count,0.38013333333333327,0.037,WannaCry,3,0.84,8.2992700729927
vad_pid_count,0.41713333333333336,0.0399,Dharma,3,0.64,8.147962830593281
vad_private_pid_count,0.41713333333333336,0.0399,Dharma,3,0.64,8.147962830593281
filescan_total,0.7007666666666665,0.0451,Cerber,3,0.7733333333333333,7.891798759476223
malfind_count,0.22363333333333335,0.0453,Dharma,3,0.56,7.882312456985547
handle_registry_ratio,0.4538,0.0457,WannaCry,3,0.7022333333333334,7.863417982155114
dlllist_avg_load_total_per_process,0.19933333333333333,0.057,Cerber,3,0.7378,7.369426751592357
netstat_total,0.6797666666666667,0.0707,WannaCry,3,0.7600000000000001,6.858230814294083
malfind_rwx_pid_count,0.44353333333333333,0.0753,Dharma,3,0.6755666666666666,6.704506560182544
vad_rwx_pid_count,0.6197333333333334,0.1051,Dharma,3,0.9199999999999999,5.875670404680643
ldrmodules_max_per_process,0.4028666666666667,0.0931,WannaCry,2,0.43556666666666666,5.845330571379251
handle_total,0.6302333333333333,0.1068,WannaCry,3,0.5111,5.835589941972921
vad_exec_count,0.4547333333333334,0.1073,WannaCry,3,0.5511333333333334,5.82392667631452
cmdline_suspicious_count,0.43166666666666664,0.1098,WannaCry,3,0.7333,5.7664442326024785
dlllist_max_load_total_per_process,0.2273333333333333,0.1154,Cerber,3,0.9289,5.642525533890436
handle_registry_count,0.39936666666666665,0.1201,WannaCry,3,0.5644333333333333,5.543389368468877
handle_thread_count,0.6159,0.1305,WannaCry,3,0.7955333333333333,5.3383947939262475
handle_timer_count,0.5958,0.1455,WannaCry,2,0.4488666666666667,4.7399864222674815
pslist_avg_threads,0.5549000000000001,0.1829,Dharma,3,0.9066666666666666,4.53481795687522
netstat_unique_ips,0.7745333333333333,0.2022,WannaCry,3,0.64,4.309066843150232
netstat_established,0.7745333333333333,0.2022,WannaCry,3,0.64,4.309066843150232
handle_process_count,0.2689,0.2028,WannaCry,3,0.7866666666666667,4.302509907529723
malfind_max_regions_per_process,0.6298,0.2188,WannaCry,3,0.7822,4.136762860727729
signal_injection_score,0.7374,0.2221,WannaCry,3,0.6666666666666666,4.104625892579945
netstat_established_ratio,0.7843,0.2315,WannaCry,3,0.64,4.0165912518853695
dlllist_unusual_path_pid_count,1.0560666666666667,0.1749,Cerber,1,0.27999999999999997,3.9710197647629437
psscan_count,0.8919333333333334,0.2032,WannaCry,2,0.6844666666666667,3.9648197009674577
handle_desktop_count,0.7771666666666667,0.2403,Dharma,3,0.6488999999999999,3.9385836027034964
handle_token_count,0.9211666666666667,0.2592,WannaCry,3,0.4444333333333333,3.783964365256125
cmdline_max_length,0.47750000000000004,0.272,WannaCry,3,0.96,3.6881720430107525
ldrmodules_suspicious_path_pid_count,0.4886,0.2988,WannaCry,3,0.7955666666666666,3.507522567703109
netstat_outbound_count,0.8674333333333334,0.359,WannaCry,3,0.64,3.178649237472767
pslist_avg_children,0.6491666666666667,0.377,WannaCry,3,0.7999999999999999,3.0964360587002098
malfind_rwx_region_count,0.9154666666666667,0.3784,WannaCry,3,0.6444333333333333,3.0903010033444813
pslist_max_children,1.2194,0.3169,Cerber,2,0.49333333333333335,3.065323418885424
handle_event_count,0.7524666666666667,0.3967,WannaCry,3,0.6088666666666667,3.01328769881216
handle_file_ratio,0.9708666666666668,0.4,WannaCry,3,0.5733666666666667,3.0
pslist_unique_names,0.7188666666666667,0.4119,Cerber,3,0.6533,2.953506544246923
handle_directory_count,0.6798000000000001,0.4243,Dharma,3,0.7599666666666667,2.9073049780659925
svcscan_running,0.7574333333333333,0.4326,Dharma,3,0.9354999999999999,2.8775816748028538
svcscan_stopped,0.7329333333333333,0.4346,WannaCry,3,0.8064666666666667,2.870557426112982
vad_private_exec,0.8132,0.4553,Dharma,3,0.7600000000000001,2.800828381055285
cmdline_with_args,0.5986666666666667,0.4927,WannaCry,3,0.5822333333333333,2.6871941960519656
pslist_count,0.5986666666666667,0.4927,WannaCry,3,0.5822333333333333,2.6871941960519656
cmdline_count,0.5986666666666667,0.4927,WannaCry,3,0.5822333333333333,2.6871941960519656
malfind_private,0.8079333333333333,0.5011,WannaCry,3,0.7600000000000001,2.6636167027116953
malfind_private_exec,0.8079333333333333,0.5011,WannaCry,3,0.7600000000000001,2.6636167027116953
pslist_parent_missing_count,1.1440333333333335,0.505,Cerber,3,0.35556666666666664,2.652892561983471
handle_file_count,0.9207666666666666,0.4084,WannaCry,2,0.45776666666666666,2.633621820089169
netstat_outbound_ratio,0.9581666666666667,0.5323,WannaCry,3,0.64,2.5815277558121146
tier1_composite,0.8036666666666666,0.5977,WannaCry,3,0.6222333333333333,2.433280779704744
dlllist_crypto_ratio,0.8434333333333334,0.6261,Cerber,3,0.5821999999999999,2.377220768489189
priv_total_enabled,0.8210666666666667,0.6383,Cerber,3,0.8933333333333334,2.354462955438169
dlllist_unusual_path_hit_count,1.1854,0.427,Cerber,1,0.25333333333333335,2.230866540164453
malfind_pid_count,0.8039999999999999,0.7135,Cerber,3,0.5866666666666668,2.2292562999385375
vad_total,0.8806666666666668,0.7174,Dharma,3,0.5599999999999999,2.223391240518718
hidden_process_count,1.2702666666666667,0.5508,Cerber,2,0.31553333333333333,2.2032370415898384
svcscan_total,0.5913666666666667,0.5862,Cerber,2,0.5645333333333333,2.1239677450694647
pslist_exited_count,1.6724333333333334,0.5893,Cerber,2,0.6666666666666666,2.1174138014410753
vad_rwx_region_count,1.1107333333333334,0.5933,Dharma,2,0.6755666666666666,2.109043704024232
vad_private_region_count,1.0636333333333334,0.8403,Dharma,3,0.48,2.0634903754121026
cmdline_script_tool_count,0.9360333333333334,0.617,Dharma,2,0.6666666666666666,2.0613668061366806
vad_rwx_ratio,1.4263333333333332,0.8608,Dharma,3,0.4933,2.040799333888426
ldrmodules_not_in_load,1.6885999999999999,0.638,Dharma,2,0.5511,2.021680216802168
ldrmodules_not_in_mem,1.6885999999999999,0.638,Dharma,2,0.5511,2.021680216802168
ldrmodules_suspicious_path_ratio,0.6345999999999999,0.5121,Cerber,1,0.3511,1.9670533137286936
ldrmodules_avg_per_process,1.2236,1.0349,Cerber,3,0.5155666666666666,1.8811349017534584
cmdline_unusual_dir_count,1.4199000000000002,0.7838,Cerber,2,0.33780000000000004,1.7981443765557819
malfind_avg_regions_per_process,0.8424333333333333,0.8009,Cerber,2,0.7600000000000001,1.7766677766677765
vad_priv_exec_ratio,1.3231,0.8045,Dharma,2,0.6311,1.7722498618021008
ldrmodules_not_in_init,1.8937333333333333,0.8197,Dharma,2,0.4888666666666666,1.753977746366569
svcscan_security_stopped,3.8477333333333337,0.8607,Cerber,2,0.6666666666666666,1.7075743381562054
cmdline_unusual_dir_ratio,1.4555999999999998,0.886,Cerber,2,0.3511,1.680865449628127
handle_semaphore_count,1.4847666666666666,0.9268,Cerber,2,0.3377666666666667,1.6405661602389299
dlllist_unusual_path_ratio,1.3358,0.9376,WannaCry,2,0.5289,1.6304291955795425
handle_section_count,0.7181000000000001,0.5176,WannaCry,0,0.26666666666666666,1.6191709844559588
vad_private_ratio,1.3440333333333332,0.9699,Dharma,2,0.40890000000000004,1.601333457955572
vad_max_regions_per_process,1.3217,0.9836,Dharma,2,0.36446666666666666,1.589516426725729
ldrmodules_total,1.6826999999999999,0.9909,Cerber,2,0.47113333333333335,1.58334097228588
dlllist_unique_dlls,0.9732,0.8446,Dharma,1,0.26666666666666666,1.391982497000494
vad_exec_ratio,1.7597333333333331,0.8802,Dharma,1,0.30219999999999997,1.353533292525335
cmdline_avg_length,1.5964,0.8982,Cerber,1,0.21776666666666666,1.3351365791758498
dlllist_non_system,1.2059,0.9616,Dharma,1,0.27113333333333334,1.2753077116302436
dlllist_crypto_pid_count,1.3199,1.0277,Dharma,1,0.2889,1.2200939966303093
dlllist_total,1.2555666666666667,1.0661,Dharma,1,0.28,1.1908927193208128
dlllist_crypto_hit_count,1.7156333333333331,1.2221,Cerber,1,0.25780000000000003,1.0897057711217002
pslist_wow64_count,2.3195666666666668,1.5845,Dharma,1,0.13776666666666668,0.9269813000890472
handle_mutex_count,2.0477000000000003,1.5749,Dharma,0,0.19110000000000002,0.5970505701832945
vad_avg_regions_per_process,1.9381333333333333,1.7283,Dharma,0,0.17779999999999999,0.5469561888092763
filescan_encrypted,4.857866666666667,1.96,Dharma,0,0.0,0.4854368932038835
handle_mutex_ratio,2.3892,2.0021,WannaCry,0,0.08889999999999999,0.4757147614290471
filescan_encrypted_ratio,7.6408,2.0909,Dharma,0,0.0,0.4564334291843534
signal_encryption_score,6.825033333333334,2.7032,WannaCry,0,0.0,0.3567351598173516
